Ticker,Drawdown Start,Recovery Start,Recovery Days
AME,2011-08-25,2012-01-04,132
AME,2014-09-23,2015-03-30,188
AME,2016-01-19,2016-10-05,260
AME,2016-10-28,2017-01-04,68
AME,2018-11-20,2019-03-12,112
AME,2020-03-23,2020-07-27,126
AME,2022-03-14,2022-11-18,249
AMG,2011-08-04,2012-01-24,173
AMG,2014-04-11,2014-07-09,89
AMG,2014-11-24,2014-12-23,29
AMG,2015-08-25,2016-05-19,268
AMG,2016-07-12,2017-02-08,211
AMG,2018-04-12,2020-02-20,679
AMG,2020-03-03,2020-10-22,233
AMG,2022-01-27,2022-11-30,307
AMG,2023-05-09,2023-07-25,77
AMG,2023-07-26,2024-01-11,169
AMH,2014-11-13,2015-11-16,368
AMH,2016-01-12,2016-05-10,119
AMH,2017-10-02,2018-07-05,276
AMH,2018-11-26,2019-03-05,99
AMH,2020-04-14,2020-07-09,86
AMH,2022-03-04,2023-05-26,448
AMI,2010-10-22,2010-12-30,69
AMI,2011-11-23,2012-12-17,390
AMI,2013-03-01,2014-02-19,355
AMI,2014-05-29,2014-08-19,82
AMI,2014-09-10,2015-02-09,152
AMI,2015-04-06,2016-04-19,379
AMI,2016-12-20,2017-03-01,71
AMI,2017-04-25,2017-05-19,24
AML,2011-05-05,2012-09-04,488
AML,2013-02-08,2013-10-03,237
AML,2013-11-07,2014-04-28,172
AML,2014-05-27,2014-06-09,13
AML,2015-04-07,2015-09-15,161
AML,2015-09-16,2015-12-24,99
AML,2015-12-29,2016-01-04,6
AML,2016-03-17,2016-03-18,1
AML,2016-03-21,2016-06-30,101
AML,2016-07-01,2016-07-08,7
AML,2016-07-13,2016-08-05,23
AML,2016-08-23,2016-09-09,17
AML,2016-09-12,2016-09-13,1
AML,2017-05-26,2018-01-09,228
AMN,2010-10-18,2011-02-16,121
AMN,2011-08-31,2012-04-02,215
AMN,2013-10-18,2014-01-27,101
AMN,2014-04-09,2014-08-29,142
AMN,2016-01-15,2016-04-19,95
AMN,2016-10-17,2017-01-27,102
AMN,2017-07-18,2017-10-03,77
AMN,2018-09-27,2019-01-09,104
AMN,2019-03-19,2019-08-27,161
AMN,2020-05-07,2020-10-20,166
AMN,2022-03-10,2022-07-29,141
AMN,2023-02-06,2023-07-18,162
AMO,2010-10-18,2011-08-25,311
AMO,2011-10-27,2011-10-28,1
AMO,2011-10-31,2011-12-13,43
AMO,2012-07-31,2012-12-12,134
AMO,2013-07-18,2015-02-10,572
AMO,2015-02-18,2015-02-20,2
AMO,2015-05-28,2016-02-11,259
AMO,2016-02-12,2016-02-16,4
AMO,2016-02-22,2016-02-24,2
AMO,2016-02-25,2016-03-02,6
AMO,2016-05-31,2016-06-09,9
AMO,2016-06-16,2016-06-29,13
AMO,2016-07-01,2016-08-16,46
AMO,2016-08-18,2017-04-24,249
AMO,2017-09-01,2017-09-14,13
AMO,2017-09-15,2017-09-20,5
AMO,2017-09-21,2017-09-25,4
AMP,2011-07-22,2012-02-07,200
AMP,2012-07-11,2012-08-15,35
AMP,2015-06-10,2015-06-23,13
AMP,2015-06-24,2016-09-07,441
AMP,2018-04-19,2019-04-15,361
AMP,2020-03-26,2020-07-17,113
AMP,2022-05-09,2022-11-02,177
AMP,2023-05-12,2023-07-10,59
AMS,2010-12-13,2011-01-24,42
AMS,2011-08-09,2012-03-22,226
AMS,2012-09-06,2013-07-26,323
AMS,2014-06-06,2015-01-09,217
AMS,2015-03-23,2015-04-10,18
AMS,2015-08-27,2016-04-19,236
AMS,2017-08-11,2018-07-12,335
AMS,2018-12-24,2019-06-19,177
AMS,2019-09-26,2020-08-11,320
AMS,2020-09-01,2020-12-03,93
AMS,2021-12-15,2022-08-23,251
AMS,2023-05-16,2024-02-15,275
AMT,2011-08-11,2011-08-30,19
AMT,2013-07-25,2013-11-12,110
AMT,2015-04-16,2015-08-20,126
AMT,2015-09-01,2015-11-18,78
AMT,2016-02-11,2016-04-08,57
AMT,2016-12-23,2017-03-28,95
AMT,2018-05-21,2018-07-19,59
AMT,2020-11-03,2021-05-11,189
AMT,2022-01-20,2022-07-29,190
AMT,2022-10-12,2023-12-15,429
AMT,2024-05-17,2024-07-02,46
AMX,2011-05-25,2012-04-04,315
AMX,2012-12-06,2013-11-14,343
AMX,2014-03-17,2014-07-29,134
AMX,2015-02-02,2017-01-24,722
AMX,2018-06-05,2019-07-26,416
AMX,2019-08-15,2019-10-24,70
AMX,2020-04-07,2020-11-25,232
AMX,2022-08-10,2022-12-29,141
AMX,2023-09-05,2024-04-08,216
ANA,2019-04-22,2021-01-12,631
ANG,2011-03-16,2011-03-23,7
ANG,2011-05-20,2011-09-22,125
ANG,2012-03-22,2012-11-14,237
ANG,2012-12-13,2014-02-20,434
ANG,2014-07-16,2014-07-18,2
ANG,2014-10-03,2015-05-27,236
ANG,2015-07-10,2015-10-30,112
ANG,2016-10-25,2020-01-24,1186
ANP,2010-12-20,2011-01-11,22
ANP,2011-07-05,2012-01-04,183
ANP,2012-08-13,2013-05-02,262
ANP,2014-05-12,2014-08-11,91
ANP,2015-10-28,2016-07-20,266
ANR,2019-11-25,2020-11-30,371
ANR,2021-02-01,2021-03-24,51
ANS,2010-12-10,2010-12-28,18
ANS,2011-03-10,2011-03-28,18
ANS,2011-07-08,2012-02-09,216
ANS,2012-07-09,2012-10-16,99
ANS,2013-04-26,2013-06-17,52
ANS,2013-08-27,2013-12-26,121
ANS,2014-01-13,2014-02-20,38
ANS,2015-01-06,2015-03-30,83
ANS,2015-07-13,2015-07-20,7
ANS,2015-08-04,2015-08-10,6
ANS,2015-08-11,2015-09-02,22
ANS,2015-11-05,2015-11-06,1
ANS,2015-11-10,2016-06-20,223
ANS,2016-06-21,2016-06-27,6
ANS,2016-07-01,2016-07-05,4
ANS,2016-07-28,2016-10-06,70
ANS,2016-10-31,2016-11-02,2
ANS,2016-11-08,2016-11-14,6
ANS,2017-03-27,2017-04-21,25
ANS,2017-05-12,2017-05-17,5
ANS,2017-05-18,2017-08-21,95
ANS,2017-08-25,2017-08-28,3
ANS,2017-08-30,2017-09-05,6
ANS,2018-06-13,2018-12-24,194
ANZ,2011-05-26,2011-10-03,130
ANZ,2011-10-06,2011-10-10,4
ANZ,2011-10-17,2011-10-21,4
ANZ,2012-02-08,2012-06-26,139
ANZ,2013-07-09,2016-01-27,932
AOA,2011-08-17,2012-02-07,174
AOA,2015-08-31,2016-04-28,241
AOA,2018-10-29,2019-03-26,148
AOA,2020-03-25,2020-07-17,114
AOA,2022-03-01,2023-01-18,323
AOA,2023-11-09,2023-12-05,26
AOF,2011-08-18,2012-03-15,210
AOF,2012-08-13,2013-02-13,184
AOF,2014-07-08,2016-06-03,696
AOF,2016-08-22,2017-05-15,266
AOF,2017-08-25,2017-08-31,6
AOF,2018-08-07,2021-06-07,1035
AOF,2022-04-01,2023-08-02,488
AOF,2023-11-02,2024-02-29,119
AON,2010-10-18,2010-11-16,29
AON,2011-08-24,2012-02-24,184
AON,2012-07-13,2012-08-10,28
AON,2014-10-28,2014-11-25,28
AON,2015-09-18,2016-03-30,194
AON,2018-02-14,2018-03-12,26
